client timestamp,button,state,x,y
1323,NoButton,Move,1257,715
1331,NoButton,Move,1257,715
1339,NoButton,Move,1257,715
1347,NoButton,Move,1257,715
1355,NoButton,Move,1257,715
1362,NoButton,Move,1257,715
1371,NoButton,Move,1257,715
1379,NoButton,Move,1257,715
1387,NoButton,Move,1257,715
1395,NoButton,Move,1257,715
1403,NoButton,Move,1257,715
1411,NoButton,Move,1257,715
1419,NoButton,Move,1257,715
1427,NoButton,Move,1257,712
1435,NoButton,Move,1257,709
1442,NoButton,Move,1257,708
1451,NoButton,Move,1257,705
1459,NoButton,Move,1257,703
1467,NoButton,Move,1257,702
1475,NoButton,Move,1257,699
1483,NoButton,Move,1257,697
1491,NoButton,Move,1257,697
1498,NoButton,Move,1257,696
1507,NoButton,Move,1257,694
1514,NoButton,Move,1257,694
1523,NoButton,Move,1257,694
1531,NoButton,Move,1257,694
1539,NoButton,Move,1257,693
1547,NoButton,Move,1257,693
1555,NoButton,Move,1257,693
1562,NoButton,Move,1257,693
1571,NoButton,Move,1257,691
1579,NoButton,Move,1257,691
1587,NoButton,Move,1257,691
1594,NoButton,Move,1257,691
1603,NoButton,Move,1257,691
1611,NoButton,Move,1257,691
1619,NoButton,Move,1257,691
1627,NoButton,Move,1257,691
1635,NoButton,Move,1257,691
1642,NoButton,Move,1257,691
1651,NoButton,Move,1257,691
1659,NoButton,Move,1257,691
1667,NoButton,Move,1257,691
1675,NoButton,Move,1257,691
1683,NoButton,Move,1257,691
1691,NoButton,Move,1257,691
1699,NoButton,Move,1257,690
1707,NoButton,Move,1257,688
1714,NoButton,Move,1257,688
1723,NoButton,Move,1257,687
1731,NoButton,Move,1257,687
1738,NoButton,Move,1257,687
1747,NoButton,Move,1257,685
1755,NoButton,Move,1257,685
1763,NoButton,Move,1257,685
1771,NoButton,Move,1257,685
1779,NoButton,Move,1257,685
1787,NoButton,Move,1257,685
1795,NoButton,Move,1257,685
1803,NoButton,Move,1257,685
1811,NoButton,Move,1257,685
1819,NoButton,Move,1257,685
1826,NoButton,Move,1257,685
1835,NoButton,Move,1257,685
1840,Left,Pressed,1257,685
1840,Left,Released,1257,685
2267,NoButton,Move,1257,685
2275,NoButton,Move,1257,685
2283,NoButton,Move,1257,685
2291,NoButton,Move,1257,685
2299,NoButton,Move,1257,685
2306,NoButton,Move,1257,685
2314,NoButton,Move,1257,685
2323,NoButton,Move,1257,685
2331,NoButton,Move,1257,685
2339,NoButton,Move,1257,685
2346,NoButton,Move,1257,685
2354,NoButton,Move,1257,685
2363,NoButton,Move,1257,685
2371,NoButton,Move,1259,685
2379,NoButton,Move,1262,684
2387,NoButton,Move,1263,682
2395,NoButton,Move,1265,681
2403,NoButton,Move,1268,679
2411,NoButton,Move,1269,678
2419,NoButton,Move,1271,676
2427,NoButton,Move,1272,676
2434,NoButton,Move,1274,676
2443,NoButton,Move,1274,675
2451,NoButton,Move,1274,675
2458,NoButton,Move,1274,673
2467,NoButton,Move,1274,673
2475,NoButton,Move,1275,673
2483,NoButton,Move,1275,673
2491,NoButton,Move,1277,673
2499,NoButton,Move,1277,673
2506,NoButton,Move,1277,672
2514,NoButton,Move,1278,672
2523,NoButton,Move,1280,670
2531,NoButton,Move,1280,670
2539,NoButton,Move,1280,670
2547,NoButton,Move,1281,670
2555,NoButton,Move,1281,670
2563,NoButton,Move,1281,670
2571,NoButton,Move,1281,670
2579,NoButton,Move,1281,670
2587,NoButton,Move,1281,670
2595,NoButton,Move,1281,670
2603,NoButton,Move,1281,670
2611,NoButton,Move,1281,670
2618,NoButton,Move,1281,670
2627,NoButton,Move,1281,670
2635,NoButton,Move,1281,670
2642,NoButton,Move,1281,670
2651,NoButton,Move,1281,670
2659,NoButton,Move,1281,670
2667,NoButton,Move,1281,670
2674,NoButton,Move,1281,670
2682,NoButton,Move,1281,670
2691,NoButton,Move,1281,670
2699,NoButton,Move,1281,670
2707,NoButton,Move,1281,670
2712,Left,Pressed,1281,670
2712,Left,Released,1281,670
3131,NoButton,Move,1281,670
3138,NoButton,Move,1281,670
3147,NoButton,Move,1281,670
3155,NoButton,Move,1281,670
3163,NoButton,Move,1281,670
3171,NoButton,Move,1281,670
3178,NoButton,Move,1281,670
3187,NoButton,Move,1281,670
3195,NoButton,Move,1281,670
3203,NoButton,Move,1281,670
3211,NoButton,Move,1281,670
3219,NoButton,Move,1281,670
3227,NoButton,Move,1281,670
3235,NoButton,Move,1281,670
3243,NoButton,Move,1281,670
3251,NoButton,Move,1281,670
3259,NoButton,Move,1283,670
3266,NoButton,Move,1284,670
3275,NoButton,Move,1287,670
3283,NoButton,Move,1289,670
3291,NoButton,Move,1292,671
3299,NoButton,Move,1295,671
3306,NoButton,Move,1298,673
3315,NoButton,Move,1299,673
3323,NoButton,Move,1302,673
3331,NoButton,Move,1302,673
3339,NoButton,Move,1304,673
3347,NoButton,Move,1305,673
3355,NoButton,Move,1305,674
3362,NoButton,Move,1307,674
3371,NoButton,Move,1307,674
3379,NoButton,Move,1308,674
3386,NoButton,Move,1308,676
3395,NoButton,Move,1308,676
3403,NoButton,Move,1308,676
3411,NoButton,Move,1310,676
3418,NoButton,Move,1310,676
3427,NoButton,Move,1310,676
3435,NoButton,Move,1310,676
3443,NoButton,Move,1310,676
3451,NoButton,Move,1310,677
3458,NoButton,Move,1310,677
3467,NoButton,Move,1310,677
3475,NoButton,Move,1310,677
3483,NoButton,Move,1310,677
3491,NoButton,Move,1310,677
3499,NoButton,Move,1310,677
3507,NoButton,Move,1310,677
3515,NoButton,Move,1310,677
3523,NoButton,Move,1310,677
3530,NoButton,Move,1310,677
3538,NoButton,Move,1310,677
3547,NoButton,Move,1310,677
3555,NoButton,Move,1310,677
3562,NoButton,Move,1310,677
3570,NoButton,Move,1310,677
3579,NoButton,Move,1310,677
3587,NoButton,Move,1310,677
3595,NoButton,Move,1310,677
3602,NoButton,Move,1310,677
3611,NoButton,Move,1310,677
3619,NoButton,Move,1310,677
3627,NoButton,Move,1310,677
3635,NoButton,Move,1310,677
3643,NoButton,Move,1310,677
3651,NoButton,Move,1310,677
3655,Left,Pressed,1310,677
3655,Left,Released,1310,677
4131,NoButton,Move,1310,677
4139,NoButton,Move,1310,677
4147,NoButton,Move,1310,677
4155,NoButton,Move,1310,677
4163,NoButton,Move,1310,677
4171,NoButton,Move,1310,677
4178,NoButton,Move,1310,677
4187,NoButton,Move,1310,677
4195,NoButton,Move,1310,677
4203,NoButton,Move,1310,677
4211,NoButton,Move,1310,677
4219,NoButton,Move,1310,677
4227,NoButton,Move,1310,677
4235,NoButton,Move,1310,677
4243,NoButton,Move,1310,677
4251,NoButton,Move,1310,677
4258,NoButton,Move,1310,677
4267,NoButton,Move,1310,677
4275,NoButton,Move,1310,677
4283,NoButton,Move,1310,677
4291,NoButton,Move,1310,677
4299,NoButton,Move,1310,679
4307,NoButton,Move,1311,682
4315,NoButton,Move,1313,683
4323,NoButton,Move,1313,686
4331,NoButton,Move,1314,689
4339,NoButton,Move,1316,692
4346,NoButton,Move,1316,695
4354,NoButton,Move,1317,698
4362,NoButton,Move,1317,700
4371,NoButton,Move,1319,703
4378,NoButton,Move,1319,704
4386,NoButton,Move,1319,704
4394,NoButton,Move,1320,706
4403,NoButton,Move,1320,706
4411,NoButton,Move,1320,706
4419,NoButton,Move,1320,706
4427,NoButton,Move,1320,706
4435,NoButton,Move,1320,706
4443,NoButton,Move,1320,706
4451,NoButton,Move,1320,706
4459,NoButton,Move,1320,706
4467,NoButton,Move,1320,706
4474,NoButton,Move,1320,706
4483,NoButton,Move,1320,706
4491,NoButton,Move,1320,706
4499,NoButton,Move,1320,706
4507,NoButton,Move,1320,706
4515,NoButton,Move,1320,706
4523,NoButton,Move,1320,706
4531,NoButton,Move,1320,706
4539,NoButton,Move,1320,706
4547,NoButton,Move,1320,706
4555,NoButton,Move,1320,706
4563,NoButton,Move,1320,706
4571,NoButton,Move,1320,706
4578,NoButton,Move,1320,706
4587,NoButton,Move,1320,706
4595,NoButton,Move,1320,706
4603,NoButton,Move,1320,706
4610,NoButton,Move,1320,706
4616,Left,Pressed,1320,706
4616,Left,Released,1320,706
5066,NoButton,Move,1320,702
5075,NoButton,Move,1320,702
5082,NoButton,Move,1320,702
5091,NoButton,Move,1320,702
5099,NoButton,Move,1320,702
5107,NoButton,Move,1320,702
5115,NoButton,Move,1320,702
5123,NoButton,Move,1320,702
5131,NoButton,Move,1320,702
5139,NoButton,Move,1320,702
5146,NoButton,Move,1320,702
5154,NoButton,Move,1320,702
5163,NoButton,Move,1320,702
5170,NoButton,Move,1320,702
5179,NoButton,Move,1320,702
5187,NoButton,Move,1320,702
5195,NoButton,Move,1320,702
5203,NoButton,Move,1320,702
5211,NoButton,Move,1320,702
5219,NoButton,Move,1320,702
5227,NoButton,Move,1320,704
5234,NoButton,Move,1320,704
5243,NoButton,Move,1320,707
5251,NoButton,Move,1320,707
5259,NoButton,Move,1320,710
5267,NoButton,Move,1320,712
5275,NoButton,Move,1320,713
5283,NoButton,Move,1320,715
5290,NoButton,Move,1320,718
5299,NoButton,Move,1320,719
5307,NoButton,Move,1319,721
5315,NoButton,Move,1319,722
5323,NoButton,Move,1319,724
5330,NoButton,Move,1318,725
5339,NoButton,Move,1318,725
5347,NoButton,Move,1318,727
5355,NoButton,Move,1318,727
5363,NoButton,Move,1318,727
5370,NoButton,Move,1318,727
5379,NoButton,Move,1318,727
5387,NoButton,Move,1318,727
5395,NoButton,Move,1318,727
5403,NoButton,Move,1318,727
5410,NoButton,Move,1318,727
5419,NoButton,Move,1318,727
5427,NoButton,Move,1318,727
5434,NoButton,Move,1318,727
5443,NoButton,Move,1318,727
5451,NoButton,Move,1318,727
5459,NoButton,Move,1318,727
5467,NoButton,Move,1318,727
5475,NoButton,Move,1318,727
5483,NoButton,Move,1318,727
5491,NoButton,Move,1318,727
5499,NoButton,Move,1318,727
5507,NoButton,Move,1318,727
5515,NoButton,Move,1318,727
5523,NoButton,Move,1318,727
5530,NoButton,Move,1318,727
5539,NoButton,Move,1318,727
5546,NoButton,Move,1318,727
5552,Left,Pressed,1318,727
5552,Left,Released,1318,727
5995,NoButton,Move,1318,727
6003,NoButton,Move,1318,727
6011,NoButton,Move,1318,727
6019,NoButton,Move,1318,727
6027,NoButton,Move,1318,727
6035,NoButton,Move,1318,727
6043,NoButton,Move,1318,727
6051,NoButton,Move,1318,727
6059,NoButton,Move,1318,727
6067,NoButton,Move,1318,727
6074,NoButton,Move,1318,727
6083,NoButton,Move,1318,727
6091,NoButton,Move,1318,727
6099,NoButton,Move,1318,727
6106,NoButton,Move,1318,727
6115,NoButton,Move,1318,727
6122,NoButton,Move,1318,727
6131,NoButton,Move,1318,727
6139,NoButton,Move,1318,727
6146,NoButton,Move,1318,727
6155,NoButton,Move,1318,727
6163,NoButton,Move,1318,727
6171,NoButton,Move,1318,727
6179,NoButton,Move,1316,727
6187,NoButton,Move,1315,728
6195,NoButton,Move,1313,730
6203,NoButton,Move,1310,733
6211,NoButton,Move,1306,734
6219,NoButton,Move,1303,737
6226,NoButton,Move,1300,740
6234,NoButton,Move,1297,742
6243,NoButton,Move,1295,743
6250,NoButton,Move,1295,745
6258,NoButton,Move,1295,745
6267,NoButton,Move,1295,745
6274,NoButton,Move,1295,745
6282,NoButton,Move,1295,745
6291,NoButton,Move,1295,745
6299,NoButton,Move,1295,745
6306,NoButton,Move,1295,745
6315,NoButton,Move,1295,745
6323,NoButton,Move,1295,745
6331,NoButton,Move,1295,745
6339,NoButton,Move,1295,745
6347,NoButton,Move,1295,745
6355,NoButton,Move,1295,745
6363,NoButton,Move,1295,745
6371,NoButton,Move,1295,745
6379,NoButton,Move,1295,745
6387,NoButton,Move,1295,745
6395,NoButton,Move,1295,745
6403,NoButton,Move,1295,745
6411,NoButton,Move,1295,745
6419,NoButton,Move,1295,745
6427,NoButton,Move,1295,745
6435,NoButton,Move,1295,745
6443,NoButton,Move,1295,745
6451,NoButton,Move,1295,745
6459,NoButton,Move,1295,745
6467,NoButton,Move,1295,745
6475,NoButton,Move,1295,745
6483,NoButton,Move,1295,745
6491,NoButton,Move,1295,745
6499,NoButton,Move,1295,745
6507,NoButton,Move,1295,745
6512,Left,Pressed,1295,745
6512,Left,Released,1295,745
6931,NoButton,Move,1295,745
6939,NoButton,Move,1295,745
6947,NoButton,Move,1295,745
6955,NoButton,Move,1295,745
6963,NoButton,Move,1295,745
6971,NoButton,Move,1295,745
6979,NoButton,Move,1295,745
6986,NoButton,Move,1295,745
6995,NoButton,Move,1295,745
7003,NoButton,Move,1295,745
7010,NoButton,Move,1295,745
7019,NoButton,Move,1295,745
7027,NoButton,Move,1295,745
7035,NoButton,Move,1295,745
7043,NoButton,Move,1295,745
7050,NoButton,Move,1295,745
7058,NoButton,Move,1295,745
7067,NoButton,Move,1295,745
7074,NoButton,Move,1295,745
7083,NoButton,Move,1295,745
7091,NoButton,Move,1295,745
7099,NoButton,Move,1295,745
7106,NoButton,Move,1295,745
7115,NoButton,Move,1294,745
7122,NoButton,Move,1294,745
7131,NoButton,Move,1294,745
7139,NoButton,Move,1294,745
7147,NoButton,Move,1294,745
7155,NoButton,Move,1294,745
7163,NoButton,Move,1294,745
7171,NoButton,Move,1294,745
7178,NoButton,Move,1294,745
7187,NoButton,Move,1292,745
7195,NoButton,Move,1289,745
7203,NoButton,Move,1288,746
7210,NoButton,Move,1285,746
7218,NoButton,Move,1283,746
7227,NoButton,Move,1283,746
7235,NoButton,Move,1282,746
7242,NoButton,Move,1280,748
7251,NoButton,Move,1279,748
7259,NoButton,Move,1279,748
7267,NoButton,Move,1277,748
7275,NoButton,Move,1276,748
7282,NoButton,Move,1276,748
7291,NoButton,Move,1276,748
7298,NoButton,Move,1276,748
7306,NoButton,Move,1274,748
7315,NoButton,Move,1274,748
7323,NoButton,Move,1273,748
7331,NoButton,Move,1273,748
7338,NoButton,Move,1271,749
7346,NoButton,Move,1268,749
7354,NoButton,Move,1267,751
7363,NoButton,Move,1265,751
7371,NoButton,Move,1264,751
7379,NoButton,Move,1262,751
7387,NoButton,Move,1262,752
7395,NoButton,Move,1262,752
7403,NoButton,Move,1262,752
7411,NoButton,Move,1262,752
7418,NoButton,Move,1262,752
7427,NoButton,Move,1262,752
7435,NoButton,Move,1262,752
7443,NoButton,Move,1262,752
7451,NoButton,Move,1262,752
7459,NoButton,Move,1262,752
7467,NoButton,Move,1262,752
7474,NoButton,Move,1262,752
7483,NoButton,Move,1262,752
7491,NoButton,Move,1262,752
7499,NoButton,Move,1262,752
7507,NoButton,Move,1262,752
7515,NoButton,Move,1262,752
7523,NoButton,Move,1262,752
7530,NoButton,Move,1262,752
7536,Left,Pressed,1262,752
7536,Left,Released,1262,752
7963,NoButton,Move,1262,752
7971,NoButton,Move,1262,752
7978,NoButton,Move,1262,752
7986,NoButton,Move,1262,752
7995,NoButton,Move,1262,752
8002,NoButton,Move,1262,752
8011,NoButton,Move,1262,752
8019,NoButton,Move,1262,752
8027,NoButton,Move,1262,752
8035,NoButton,Move,1262,752
8043,NoButton,Move,1262,752
8051,NoButton,Move,1262,752
8059,NoButton,Move,1262,752
8067,NoButton,Move,1262,752
8075,NoButton,Move,1262,752
8083,NoButton,Move,1262,752
8090,NoButton,Move,1262,752
8098,NoButton,Move,1262,752
8107,NoButton,Move,1262,752
8115,NoButton,Move,1262,752
