client timestamp,button,state,x,y
8123,NoButton,Move,1261,751
8131,NoButton,Move,1261,750
8139,NoButton,Move,1259,750
8147,NoButton,Move,1259,748
8155,NoButton,Move,1258,747
8163,NoButton,Move,1258,745
8170,NoButton,Move,1256,744
8179,NoButton,Move,1256,742
8187,NoButton,Move,1255,741
8195,NoButton,Move,1253,739
8203,NoButton,Move,1252,738
8211,NoButton,Move,1252,736
8219,NoButton,Move,1250,736
8227,NoButton,Move,1250,735
8235,NoButton,Move,1250,735
8243,NoButton,Move,1250,735
8251,NoButton,Move,1250,735
8258,NoButton,Move,1250,735
8267,NoButton,Move,1250,735
8275,NoButton,Move,1249,733
8283,NoButton,Move,1249,733
8291,NoButton,Move,1247,732
8299,NoButton,Move,1247,732
8307,NoButton,Move,1247,732
8314,NoButton,Move,1246,732
8323,NoButton,Move,1246,729
8330,NoButton,Move,1246,729
8339,NoButton,Move,1246,729
8347,NoButton,Move,1246,729
8355,NoButton,Move,1244,726
8363,NoButton,Move,1244,726
8371,NoButton,Move,1243,724
8379,NoButton,Move,1243,723
8387,NoButton,Move,1243,723
8395,NoButton,Move,1243,723
8403,NoButton,Move,1243,723
8411,NoButton,Move,1243,723
8419,NoButton,Move,1243,721
8427,NoButton,Move,1243,721
8435,NoButton,Move,1243,721
8443,NoButton,Move,1243,721
8451,NoButton,Move,1243,721
8458,NoButton,Move,1243,721
8467,NoButton,Move,1243,721
8475,NoButton,Move,1243,721
8483,NoButton,Move,1243,721
8488,Left,Pressed,1243,721
8488,Left,Released,1243,721
9483,NoButton,Move,1245,729
9491,NoButton,Move,1245,729
9499,NoButton,Move,1245,729
9506,NoButton,Move,1245,729
9515,NoButton,Move,1245,729
9522,NoButton,Move,1245,729
9531,NoButton,Move,1245,729
9539,NoButton,Move,1245,729
9546,NoButton,Move,1245,729
9555,NoButton,Move,1245,729
9563,NoButton,Move,1245,729
9570,NoButton,Move,1245,729
9578,NoButton,Move,1245,729
9586,NoButton,Move,1245,729
9594,NoButton,Move,1245,729
9602,NoButton,Move,1245,729
9611,NoButton,Move,1245,729
9619,NoButton,Move,1245,729
9627,NoButton,Move,1245,729
9635,NoButton,Move,1245,727
9643,NoButton,Move,1245,726
9651,NoButton,Move,1244,726
9659,NoButton,Move,1244,724
9667,NoButton,Move,1244,723
9674,NoButton,Move,1243,723
9683,NoButton,Move,1243,721
9691,NoButton,Move,1243,720
9699,NoButton,Move,1241,717
9707,NoButton,Move,1241,715
9715,NoButton,Move,1241,714
9723,NoButton,Move,1240,712
9730,NoButton,Move,1240,711
9738,NoButton,Move,1240,709
9747,NoButton,Move,1240,709
9755,NoButton,Move,1240,709
9763,NoButton,Move,1240,709
9771,NoButton,Move,1240,708
9778,NoButton,Move,1240,706
9786,NoButton,Move,1240,706
9795,NoButton,Move,1240,706
9803,NoButton,Move,1240,705
9811,NoButton,Move,1240,703
9819,NoButton,Move,1240,703
9827,NoButton,Move,1240,703
9834,NoButton,Move,1240,703
9843,NoButton,Move,1240,702
9850,NoButton,Move,1240,702
9859,NoButton,Move,1240,700
9867,NoButton,Move,1240,699
9875,NoButton,Move,1240,697
9883,NoButton,Move,1240,696
9890,NoButton,Move,1240,696
9899,NoButton,Move,1240,694
9907,NoButton,Move,1240,693
9915,NoButton,Move,1240,693
9922,NoButton,Move,1240,693
9931,NoButton,Move,1240,693
9939,NoButton,Move,1240,693
9947,NoButton,Move,1240,691
9955,NoButton,Move,1240,690
9963,NoButton,Move,1240,690
9971,NoButton,Move,1240,690
9979,NoButton,Move,1240,690
9987,NoButton,Move,1240,690
9995,NoButton,Move,1240,690
10003,NoButton,Move,1240,690
10011,NoButton,Move,1240,690
10019,NoButton,Move,1240,690
10027,NoButton,Move,1240,690
10035,NoButton,Move,1240,690
10043,NoButton,Move,1240,690
10051,NoButton,Move,1240,690
10058,NoButton,Move,1240,690
10067,NoButton,Move,1240,690
10075,NoButton,Move,1240,690
10083,NoButton,Move,1240,690
10088,Left,Pressed,1240,690
10088,Left,Released,1240,690
11003,NoButton,Move,1237,691
11011,NoButton,Move,1237,691
11019,NoButton,Move,1237,691
11027,NoButton,Move,1237,691
11035,NoButton,Move,1237,691
11043,NoButton,Move,1237,691
11051,NoButton,Move,1237,691
11059,NoButton,Move,1237,691
11067,NoButton,Move,1237,691
11075,NoButton,Move,1237,691
11083,NoButton,Move,1237,691
11091,NoButton,Move,1237,691
11099,NoButton,Move,1237,691
11107,NoButton,Move,1237,691
11115,NoButton,Move,1237,691
11123,NoButton,Move,1237,691
11131,NoButton,Move,1237,691
11139,NoButton,Move,1237,691
11147,NoButton,Move,1237,691
11155,NoButton,Move,1237,691
11163,NoButton,Move,1237,691
11171,NoButton,Move,1238,690
11179,NoButton,Move,1241,688
11186,NoButton,Move,1242,687
11195,NoButton,Move,1244,684
11203,NoButton,Move,1245,682
11211,NoButton,Move,1247,681
11218,NoButton,Move,1248,681
11226,NoButton,Move,1248,679
11235,NoButton,Move,1250,679
11243,NoButton,Move,1250,678
11251,NoButton,Move,1251,678
11259,NoButton,Move,1251,676
11267,NoButton,Move,1251,676
11275,NoButton,Move,1253,675
11283,NoButton,Move,1253,675
11290,NoButton,Move,1253,675
11299,NoButton,Move,1253,675
11307,NoButton,Move,1253,675
11314,NoButton,Move,1253,675
11323,NoButton,Move,1253,675
11331,NoButton,Move,1253,675
11339,NoButton,Move,1253,675
11347,NoButton,Move,1253,675
11355,NoButton,Move,1253,675
11363,NoButton,Move,1253,675
11371,NoButton,Move,1253,675
11379,NoButton,Move,1253,675
11386,NoButton,Move,1253,675
11395,NoButton,Move,1254,675
11402,NoButton,Move,1254,675
11411,NoButton,Move,1257,672
11419,NoButton,Move,1259,669
11427,NoButton,Move,1260,669
11435,NoButton,Move,1263,667
11443,NoButton,Move,1263,666
11451,NoButton,Move,1263,666
11458,NoButton,Move,1263,666
11467,NoButton,Move,1263,666
11475,NoButton,Move,1263,666
11483,NoButton,Move,1263,666
11491,NoButton,Move,1263,666
11499,NoButton,Move,1263,666
11507,NoButton,Move,1263,666
11515,NoButton,Move,1263,666
11523,NoButton,Move,1263,666
11531,NoButton,Move,1263,666
11539,NoButton,Move,1263,666
11547,NoButton,Move,1263,666
11555,NoButton,Move,1263,666
11560,Left,Pressed,1263,666
11560,Left,Released,1263,666
11979,NoButton,Move,1263,666
11987,NoButton,Move,1263,666
11994,NoButton,Move,1263,666
12003,NoButton,Move,1263,666
12011,NoButton,Move,1263,666
12019,NoButton,Move,1263,666
12027,NoButton,Move,1263,666
12035,NoButton,Move,1263,666
12043,NoButton,Move,1263,666
12051,NoButton,Move,1263,666
12058,NoButton,Move,1263,666
12066,NoButton,Move,1263,666
12075,NoButton,Move,1263,666
12083,NoButton,Move,1263,666
12091,NoButton,Move,1265,666
12099,NoButton,Move,1268,667
12107,NoButton,Move,1269,667
12115,NoButton,Move,1271,668
12123,NoButton,Move,1272,668
12131,NoButton,Move,1274,670
12139,NoButton,Move,1275,670
12147,NoButton,Move,1277,670
12155,NoButton,Move,1278,671
12163,NoButton,Move,1280,671
12170,NoButton,Move,1281,671
12179,NoButton,Move,1283,673
12187,NoButton,Move,1284,673
12195,NoButton,Move,1286,673
12202,NoButton,Move,1289,674
12210,NoButton,Move,1289,674
12218,NoButton,Move,1290,676
12227,NoButton,Move,1292,676
12235,NoButton,Move,1293,676
12243,NoButton,Move,1295,677
12251,NoButton,Move,1296,677
12259,NoButton,Move,1298,679
12267,NoButton,Move,1299,679
12275,NoButton,Move,1299,679
12283,NoButton,Move,1299,679
12291,NoButton,Move,1299,679
12298,NoButton,Move,1299,679
12307,NoButton,Move,1299,679
12314,NoButton,Move,1299,679
12323,NoButton,Move,1301,679
12331,NoButton,Move,1301,679
12339,NoButton,Move,1301,679
12347,NoButton,Move,1301,679
12354,NoButton,Move,1301,679
12363,NoButton,Move,1301,679
12371,NoButton,Move,1301,679
12379,NoButton,Move,1301,679
12387,NoButton,Move,1301,679
12395,NoButton,Move,1301,679
12402,NoButton,Move,1301,679
12411,NoButton,Move,1301,679
12419,NoButton,Move,1301,679
12427,NoButton,Move,1301,679
12435,NoButton,Move,1301,679
12443,NoButton,Move,1301,679
12451,NoButton,Move,1301,679
12456,Left,Pressed,1301,679
12456,Left,Released,1301,679
13658,NoButton,Move,1282,678
13667,NoButton,Move,1282,678
13675,NoButton,Move,1282,678
13683,NoButton,Move,1282,678
13691,NoButton,Move,1282,678
13699,NoButton,Move,1282,678
13706,NoButton,Move,1282,678
13715,NoButton,Move,1282,678
13723,NoButton,Move,1282,678
13731,NoButton,Move,1282,678
13739,NoButton,Move,1282,678
13747,NoButton,Move,1282,678
13755,NoButton,Move,1282,678
13763,NoButton,Move,1282,678
13771,NoButton,Move,1282,678
13779,NoButton,Move,1283,678
13787,NoButton,Move,1284,679
13795,NoButton,Move,1286,679
13803,NoButton,Move,1287,680
13811,NoButton,Move,1289,682
13819,NoButton,Move,1292,683
13827,NoButton,Move,1293,685
13835,NoButton,Move,1295,685
13843,NoButton,Move,1296,686
13850,NoButton,Move,1296,686
13859,NoButton,Move,1298,688
13867,NoButton,Move,1298,688
13875,NoButton,Move,1298,689
13882,NoButton,Move,1299,689
13891,NoButton,Move,1299,689
13899,NoButton,Move,1301,691
13907,NoButton,Move,1302,692
13915,NoButton,Move,1302,692
13922,NoButton,Move,1302,694
13931,NoButton,Move,1304,694
13939,NoButton,Move,1304,694
13947,NoButton,Move,1304,694
13955,NoButton,Move,1304,694
13963,NoButton,Move,1304,694
13971,NoButton,Move,1304,694
13979,NoButton,Move,1304,694
13987,NoButton,Move,1304,694
13995,NoButton,Move,1304,694
14003,NoButton,Move,1304,694
14010,NoButton,Move,1304,694
14018,NoButton,Move,1304,694
14027,NoButton,Move,1304,694
14035,NoButton,Move,1304,694
14043,NoButton,Move,1304,694
14051,NoButton,Move,1304,694
14059,NoButton,Move,1304,694
14067,NoButton,Move,1304,694
14075,NoButton,Move,1304,694
14083,NoButton,Move,1304,694
14091,NoButton,Move,1304,695
14099,NoButton,Move,1305,695
14107,NoButton,Move,1305,695
14115,NoButton,Move,1305,695
14123,NoButton,Move,1305,695
14131,NoButton,Move,1305,695
14139,NoButton,Move,1305,695
14147,NoButton,Move,1305,695
14151,Left,Pressed,1305,695
14151,Left,Released,1305,695
14650,NoButton,Move,1305,695
14659,NoButton,Move,1305,695
14667,NoButton,Move,1305,695
14675,NoButton,Move,1305,695
14683,NoButton,Move,1305,695
14691,NoButton,Move,1305,695
14699,NoButton,Move,1305,695
14707,NoButton,Move,1305,695
14715,NoButton,Move,1305,695
14723,NoButton,Move,1305,695
14731,NoButton,Move,1305,695
14738,NoButton,Move,1305,697
14747,NoButton,Move,1305,698
14755,NoButton,Move,1305,698
14763,NoButton,Move,1305,698
14771,NoButton,Move,1305,701
14779,NoButton,Move,1305,703
14787,NoButton,Move,1305,704
14795,NoButton,Move,1305,709
14803,NoButton,Move,1305,713
14811,NoButton,Move,1304,716
14818,NoButton,Move,1303,721
14827,NoButton,Move,1301,725
14835,NoButton,Move,1301,728
14843,NoButton,Move,1300,731
14850,NoButton,Move,1300,734
14859,NoButton,Move,1298,736
14866,NoButton,Move,1298,737
14875,NoButton,Move,1298,737
14883,NoButton,Move,1298,737
14891,NoButton,Move,1298,739
14898,NoButton,Move,1298,739
14907,NoButton,Move,1298,739
14915,NoButton,Move,1298,739
14922,NoButton,Move,1298,739
14931,NoButton,Move,1298,739
14939,NoButton,Move,1298,739
14946,NoButton,Move,1298,739
14954,NoButton,Move,1298,739
14963,NoButton,Move,1298,739
14971,NoButton,Move,1298,739
14979,NoButton,Move,1298,739
14987,NoButton,Move,1298,739
14994,NoButton,Move,1298,739
15003,NoButton,Move,1298,739
15011,NoButton,Move,1298,739
15019,NoButton,Move,1298,739
15027,NoButton,Move,1298,739
15034,NoButton,Move,1298,739
15043,NoButton,Move,1298,739
15051,NoButton,Move,1298,739
15059,NoButton,Move,1299,739
15066,NoButton,Move,1299,738
15075,NoButton,Move,1301,738
15083,NoButton,Move,1302,738
15090,NoButton,Move,1302,738
15098,NoButton,Move,1302,736
15106,NoButton,Move,1302,736
15115,NoButton,Move,1302,736
15123,NoButton,Move,1302,736
15131,NoButton,Move,1304,735
15139,NoButton,Move,1305,735
15147,NoButton,Move,1305,735
15155,NoButton,Move,1307,733
15163,NoButton,Move,1307,733
15171,NoButton,Move,1307,733
15178,NoButton,Move,1307,733
15187,NoButton,Move,1307,733
15194,NoButton,Move,1307,733
15202,NoButton,Move,1307,733
15211,NoButton,Move,1307,733
15216,Left,Pressed,1307,733
15216,Left,Released,1307,733
15891,NoButton,Move,1307,733
15899,NoButton,Move,1307,733
15907,NoButton,Move,1307,733
15915,NoButton,Move,1307,733
15923,NoButton,Move,1307,733
15931,NoButton,Move,1307,733
15939,NoButton,Move,1307,733
15946,NoButton,Move,1307,733
15955,NoButton,Move,1307,733
15963,NoButton,Move,1307,733
15971,NoButton,Move,1307,733
15979,NoButton,Move,1306,733
15986,NoButton,Move,1304,734
15995,NoButton,Move,1301,736
16002,NoButton,Move,1300,736
16011,NoButton,Move,1298,739
16019,NoButton,Move,1297,739
16027,NoButton,Move,1295,739
16035,NoButton,Move,1295,739
16043,NoButton,Move,1295,739
16051,NoButton,Move,1295,739
16058,NoButton,Move,1295,739
16067,NoButton,Move,1295,739
16075,NoButton,Move,1295,739
16083,NoButton,Move,1295,739
16091,NoButton,Move,1295,739
16099,NoButton,Move,1295,739
16106,NoButton,Move,1295,739
16115,NoButton,Move,1295,739
16123,NoButton,Move,1295,739
16130,NoButton,Move,1295,739
16139,NoButton,Move,1295,739
16147,NoButton,Move,1295,739
16155,NoButton,Move,1295,739
16163,NoButton,Move,1295,739
16171,NoButton,Move,1295,739
16179,NoButton,Move,1295,739
16187,NoButton,Move,1295,739
16195,NoButton,Move,1295,739
16203,NoButton,Move,1295,739
16210,NoButton,Move,1295,739
16218,NoButton,Move,1295,739
16227,NoButton,Move,1294,739
16235,NoButton,Move,1291,739
16243,NoButton,Move,1289,739
16250,NoButton,Move,1289,739
16258,NoButton,Move,1286,739
16267,NoButton,Move,1285,739
16275,NoButton,Move,1283,740
16283,NoButton,Move,1282,740
16291,NoButton,Move,1280,740
16299,NoButton,Move,1280,740
16307,NoButton,Move,1280,742
16315,NoButton,Move,1280,742
16323,NoButton,Move,1280,742
16331,NoButton,Move,1280,742
16339,NoButton,Move,1280,742
16347,NoButton,Move,1280,742
16355,NoButton,Move,1280,742
16363,NoButton,Move,1280,742
16371,NoButton,Move,1280,742
16379,NoButton,Move,1280,742
16387,NoButton,Move,1280,742
16395,NoButton,Move,1280,742
16402,NoButton,Move,1280,742
16411,NoButton,Move,1280,742
16419,NoButton,Move,1280,742
16427,NoButton,Move,1280,742
16435,NoButton,Move,1280,742
16442,NoButton,Move,1280,742
16451,NoButton,Move,1280,742
16459,NoButton,Move,1280,742
16467,NoButton,Move,1280,742
16475,NoButton,Move,1280,742
16480,Left,Pressed,1280,742
16480,Left,Released,1280,742
